# ph	Lobs	err	L+BB	err	

53805.89	7.84e+41	2.04e+40	8.89e+41	3.22e+40
53809.85	7.06e+41	2.13e+40	7.99e+41	3.61e+40
53815.86	6.77e+41	1.92e+40	7.74e+41	2.94e+40
53818.90	6.92e+41	1.93e+40	7.87e+41	2.77e+40
53819.90	6.92e+41	1.92e+40	7.85e+41	2.83e+40
53823.83	7.09e+41	2.02e+40	8.09e+41	2.83e+40
53824.87	7.12e+41	2.02e+40	8.13e+41	2.96e+40
53828.89	7.44e+41	2.16e+40	8.56e+41	3.37e+40
53829.92	7.46e+41	2.15e+40	8.56e+41	3.16e+40
53830.89	7.41e+41	2.09e+40	8.57e+41	3.29e+40
53832.86	7.66e+41	2.16e+40	8.84e+41	3.38e+40
53835.87	7.97e+41	2.25e+40	9.24e+41	3.56e+40
53838.82	8.84e+41	2.57e+40	1.03e+42	4.78e+40
53840.83	8.85e+41	2.60e+40	1.03e+42	4.35e+40
53841.85	9.18e+41	2.72e+40	1.06e+42	4.31e+40
53845.82	9.82e+41	2.89e+40	1.14e+42	4.56e+40
53850.81	1.02e+42	2.99e+40	1.17e+42	4.41e+40
53853.85	1.05e+42	3.08e+40	1.20e+42	4.51e+40
53858.79	1.10e+42	3.30e+40	1.26e+42	4.85e+40
53861.82	1.12e+42	3.35e+40	1.28e+42	4.71e+40
53862.80	1.13e+42	3.38e+40	1.29e+42	4.75e+40
53866.75	1.19e+42	3.60e+40	1.35e+42	5.10e+40
53867.78	1.17e+42	3.56e+40	1.33e+42	5.02e+40
53870.80	1.19e+42	3.52e+40	1.34e+42	5.47e+40
53871.79	1.14e+42	3.43e+40	1.28e+42	4.85e+40
53872.78	1.13e+42	3.37e+40	1.27e+42	4.52e+40
53886.78	7.44e+41	2.46e+40	8.30e+41	3.97e+40
53890.72	6.65e+41	2.54e+40	7.66e+41	4.93e+40
53891.74	5.98e+41	2.06e+40	6.64e+41	3.64e+40
53892.76	5.65e+41	1.98e+40	6.29e+41	3.39e+40
53893.71	5.64e+41	1.95e+40	6.22e+41	3.57e+40
53894.75	5.13e+41	1.73e+40	5.79e+41	3.59e+40
53897.66	3.15e+41	1.08e+40	3.58e+41	2.13e+40
53898.71	1.92e+41	7.41e+39	2.15e+41	1.49e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2006au_uBgVriYJH.txt and logL-bb_SN2006au_uBgVriYJH.txt for simple LC files
# Methodology:
# filters used:uBgVriYJH
# redshift used:0.0099
# extinction used:0.313
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
