# ph	Lobs	err	L+BB	err	

58465.49	3.43e+41	1.34e+41	1.25e+42	4.09e+41
58465.50	3.43e+41	1.34e+41	1.25e+42	4.09e+41
58465.50	3.43e+41	1.34e+41	1.25e+42	4.09e+41
58465.51	3.43e+41	1.34e+41	1.25e+42	4.09e+41
58466.83	3.43e+41	1.34e+41	1.26e+42	3.67e+41
58467.90	3.43e+41	1.34e+41	1.27e+42	3.35e+41
58468.98	3.41e+41	1.34e+41	1.27e+42	3.02e+41
58469.99	3.38e+41	1.33e+41	1.27e+42	2.90e+41
58471.79	3.31e+41	1.32e+41	1.28e+42	2.33e+41
58472.74	3.26e+41	1.31e+41	1.27e+42	2.31e+41
58473.44	3.23e+41	1.30e+41	1.27e+42	2.20e+41
58473.45	3.23e+41	1.30e+41	1.27e+42	2.20e+41
58473.47	3.23e+41	1.30e+41	1.28e+42	2.29e+41
58473.47	3.23e+41	1.30e+41	1.28e+42	2.29e+41
58479.46	2.78e+41	1.14e+41	1.22e+42	2.31e+41
58479.46	2.78e+41	1.14e+41	1.22e+42	2.31e+41
58479.47	2.78e+41	1.14e+41	1.22e+42	2.31e+41
58479.48	2.78e+41	1.14e+41	1.22e+42	2.31e+41
58480.79	2.67e+41	1.10e+41	1.20e+42	2.49e+41
58480.82	2.67e+41	1.10e+41	1.20e+42	2.49e+41
58481.49	2.60e+41	1.07e+41	1.18e+42	2.63e+41
58482.98	2.47e+41	1.02e+41	1.16e+42	2.90e+41
58483.46	2.43e+41	1.00e+41	1.14e+42	2.85e+41
58483.47	2.43e+41	1.00e+41	1.14e+42	2.85e+41
58483.47	2.43e+41	1.00e+41	1.14e+42	2.85e+41
58483.48	2.43e+41	1.00e+41	1.14e+42	2.85e+41
58483.69	2.41e+41	9.94e+40	1.13e+42	2.82e+41
58485.44	2.25e+41	9.34e+40	1.09e+42	3.17e+41
58485.46	2.24e+41	9.28e+40	1.09e+42	3.37e+41
58485.46	2.24e+41	9.28e+40	1.09e+42	3.37e+41
58485.48	2.24e+41	9.28e+40	1.09e+42	3.37e+41
58486.94	2.12e+41	8.78e+40	1.04e+42	3.45e+41
58487.46	2.07e+41	8.56e+40	1.03e+42	3.58e+41
58487.46	2.07e+41	8.56e+40	1.03e+42	3.58e+41
58487.48	2.07e+41	8.54e+40	1.03e+42	3.45e+41
58487.49	2.07e+41	8.54e+40	1.03e+42	3.45e+41
58487.71	2.05e+41	8.48e+40	1.03e+42	3.68e+41
58489.44	1.92e+41	7.93e+40	9.77e+41	3.58e+41
58489.45	1.92e+41	7.93e+40	9.77e+41	3.58e+41
58489.45	1.92e+41	7.93e+40	9.77e+41	3.58e+41
58489.46	1.91e+41	7.93e+40	9.86e+41	3.71e+41
58490.71	1.83e+41	7.58e+40	9.50e+41	3.67e+41
58491.45	1.78e+41	7.39e+40	9.33e+41	3.82e+41
58491.46	1.78e+41	7.39e+40	9.33e+41	3.82e+41
58491.47	1.77e+41	7.37e+40	9.32e+41	3.70e+41
58491.48	1.77e+41	7.37e+40	9.32e+41	3.70e+41
58492.78	1.69e+41	7.06e+40	8.89e+41	3.73e+41
58493.44	1.66e+41	6.93e+40	8.80e+41	3.78e+41
58493.45	1.66e+41	6.93e+40	8.80e+41	3.78e+41
58493.45	1.66e+41	6.93e+40	8.80e+41	3.78e+41
58493.46	1.66e+41	6.93e+40	8.80e+41	3.78e+41
58493.73	1.64e+41	6.87e+40	8.72e+41	3.75e+41
58495.44	1.57e+41	6.61e+40	8.34e+41	3.67e+41
58495.44	1.57e+41	6.61e+40	8.34e+41	3.67e+41
58495.44	1.57e+41	6.61e+40	8.34e+41	3.67e+41
58495.46	1.57e+41	6.61e+40	8.34e+41	3.67e+41
58495.78	1.55e+41	6.55e+40	8.27e+41	3.64e+41
58497.42	1.49e+41	6.33e+40	7.91e+41	3.64e+41
58497.44	1.49e+41	6.33e+40	7.91e+41	3.64e+41
58497.44	1.49e+41	6.33e+40	7.91e+41	3.64e+41
58497.45	1.49e+41	6.33e+40	7.91e+41	3.64e+41
58499.39	1.43e+41	6.11e+40	7.42e+41	3.52e+41
58499.39	1.43e+41	6.11e+40	7.42e+41	3.52e+41
58499.41	1.43e+41	6.11e+40	7.42e+41	3.52e+41
58499.42	1.43e+41	6.11e+40	7.42e+41	3.52e+41
58504.76	1.30e+41	5.62e+40	6.48e+41	3.50e+41
58505.73	1.28e+41	5.53e+40	6.25e+41	3.43e+41
58507.41	1.25e+41	5.40e+40	6.12e+41	3.55e+41
58507.41	1.25e+41	5.40e+40	6.12e+41	3.55e+41
58507.42	1.25e+41	5.40e+40	6.12e+41	3.55e+41
58507.43	1.25e+41	5.40e+40	6.12e+41	3.55e+41
58507.73	1.24e+41	5.36e+40	6.02e+41	3.52e+41
58508.71	1.22e+41	5.29e+40	5.92e+41	3.62e+41
58509.77	1.21e+41	5.21e+40	5.88e+41	3.65e+41
58511.69	1.18e+41	5.08e+40	5.70e+41	3.74e+41
58513.91	1.15e+41	4.94e+40	5.47e+41	3.68e+41
58517.38	1.11e+41	4.77e+40	5.13e+41	3.63e+41
58517.38	1.11e+41	4.77e+40	5.13e+41	3.63e+41
58517.40	1.11e+41	4.77e+40	5.13e+41	3.63e+41
58517.40	1.11e+41	4.77e+40	5.13e+41	3.63e+41
58519.41	1.10e+41	4.70e+40	4.93e+41	3.59e+41
58519.42	1.10e+41	4.70e+40	4.93e+41	3.59e+41
58519.43	1.10e+41	4.70e+40	4.93e+41	3.59e+41
58522.69	1.09e+41	4.68e+40	4.66e+41	3.60e+41
58522.71	1.09e+41	4.68e+40	4.66e+41	3.60e+41
58523.40	1.08e+41	4.67e+40	4.63e+41	3.68e+41
58526.69	1.05e+41	4.57e+40	4.53e+41	3.61e+41
58537.37	9.60e+40	4.47e+40	4.25e+41	3.45e+41
58538.69	9.51e+40	4.46e+40	4.19e+41	3.39e+41
58545.33	9.04e+40	4.49e+40	4.03e+41	3.41e+41
58545.34	9.04e+40	4.49e+40	4.03e+41	3.41e+41
58545.35	9.04e+40	4.49e+40	4.03e+41	3.41e+41
58545.36	9.04e+40	4.49e+40	4.03e+41	3.41e+41
58547.62	9.02e+40	4.57e+40	4.02e+41	3.45e+41
