# ph	Lobs	err	L+BB	err	

58249.77	2.05e+41	4.07e+40	2.38e+43	1.05e+44
58261.81	4.88e+41	8.13e+40	3.45e+43	1.52e+44
58311.69	9.14e+41	9.88e+40	1.04e+44	4.58e+44
58314.67	1.07e+42	1.16e+41	1.43e+44	6.34e+44
58314.75	1.02e+42	1.21e+41	2.71e+44	1.21e+45
58320.73	1.06e+42	1.27e+41	2.95e+43	1.26e+44
58325.79	1.07e+42	1.19e+41	7.07e+42	2.07e+43
58326.77	1.05e+42	9.73e+40	8.75e+42	3.27e+43
58330.71	1.01e+42	1.06e+41	5.12e+42	1.46e+43
58330.80	1.02e+42	8.81e+40	5.41e+42	1.79e+43
58331.82	9.78e+41	1.01e+41	4.83e+42	1.47e+43
58333.66	9.61e+41	7.75e+40	4.23e+42	1.25e+43
58336.65	8.90e+41	8.74e+40	2.43e+42	2.80e+42
58336.71	8.54e+41	6.71e+40	3.06e+42	6.39e+42
58340.65	7.88e+41	7.73e+40	1.98e+42	2.32e+42
58343.65	7.31e+41	4.82e+40	2.16e+42	3.93e+42
58343.67	7.30e+41	7.08e+40	1.71e+42	1.89e+42
58345.66	6.86e+41	6.59e+40	1.53e+42	1.59e+42
58346.65	6.60e+41	6.33e+40	1.44e+42	1.48e+42
58346.67	6.63e+41	4.13e+40	1.98e+42	3.57e+42
58350.72	5.92e+41	5.68e+40	1.26e+42	1.33e+42
58353.65	5.97e+41	3.20e+40	1.70e+42	3.05e+42
58357.73	4.54e+41	3.57e+40	1.08e+42	1.06e+42
58360.64	4.82e+41	4.39e+40	1.07e+42	9.44e+41
58360.75	5.05e+41	3.24e+40	1.23e+42	1.69e+42
58363.63	4.76e+41	4.32e+40	1.07e+42	9.51e+41
58363.65	4.71e+41	4.27e+40	1.05e+42	9.52e+41
58363.73	4.60e+41	3.03e+40	1.17e+42	1.56e+42
58366.71	4.65e+41	4.36e+40	1.01e+42	9.39e+41
58367.64	4.71e+41	4.42e+40	1.01e+42	9.32e+41
58369.63	4.70e+41	2.61e+40	1.21e+42	1.90e+42
58369.73	4.84e+41	4.58e+40	1.01e+42	9.37e+41
58373.63	4.71e+41	2.27e+40	1.17e+42	2.03e+42
58373.71	4.58e+41	4.72e+40	8.76e+41	8.30e+41
58379.62	4.22e+41	7.34e+40	7.32e+41	4.44e+41
58381.67	4.08e+41	8.52e+40	7.12e+41	3.84e+41
58465.05	5.79e+40	1.01e+40	1.33e+41	2.41e+41
58468.06	6.40e+40	9.64e+39	1.79e+41	3.70e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2018ego_gri.txt and logL-bb_SN2018ego_gri.txt for simple LC files
# Methodology:
# filters used:gri
# redshift used:0.037493
# extinction used:0.0465
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
