# ph	Lobs	err	L+BB	err	

56085.85	1.52e+41	2.70e+40	7.03e+41	3.77e+41
56086.93	2.39e+41	4.31e+40	1.10e+42	5.61e+41
56087.91	2.07e+41	3.10e+40	1.06e+42	7.73e+41
56089.84	3.24e+41	4.84e+40	1.63e+42	1.14e+42
56091.89	2.85e+41	4.19e+40	1.43e+42	9.85e+41
56092.79	3.20e+41	4.53e+40	1.65e+42	1.22e+42
56093.88	2.97e+41	4.30e+40	1.48e+42	1.00e+42
56094.79	3.38e+41	4.68e+40	1.74e+42	1.28e+42
56096.81	3.39e+41	4.60e+40	1.74e+42	1.27e+42
56098.83	3.82e+41	5.04e+40	1.98e+42	1.46e+42
56099.74	3.89e+41	5.01e+40	2.04e+42	1.55e+42
56100.80	4.08e+41	5.27e+40	2.09e+42	1.52e+42
56101.73	4.07e+41	5.40e+40	2.01e+42	1.35e+42
56102.80	4.26e+41	5.33e+40	2.21e+42	1.64e+42
56103.73	4.51e+41	5.61e+40	2.32e+42	1.70e+42
56104.77	4.17e+41	5.11e+40	2.15e+42	1.58e+42
56105.76	5.11e+41	6.15e+40	2.65e+42	1.97e+42
56106.75	4.16e+41	5.24e+40	2.03e+42	1.32e+42
56107.78	5.11e+41	6.03e+40	2.62e+42	1.92e+42
56108.78	5.58e+41	7.32e+40	2.61e+42	1.48e+42
56109.68	5.31e+41	6.13e+40	2.71e+42	1.96e+42
56111.76	5.10e+41	5.96e+40	2.49e+42	1.64e+42
56113.79	6.06e+41	6.54e+40	3.11e+42	2.30e+42
56114.73	5.50e+41	5.87e+40	2.82e+42	2.08e+42
56115.84	5.63e+41	5.86e+40	2.91e+42	2.18e+42
56116.74	5.76e+41	6.05e+40	2.90e+42	2.07e+42
56117.82	5.97e+41	6.02e+40	3.09e+42	2.33e+42
56118.75	5.75e+41	5.81e+40	2.90e+42	2.10e+42
56119.80	6.02e+41	5.95e+40	3.07e+42	2.25e+42
56123.78	6.24e+41	5.74e+40	3.19e+42	2.37e+42
56125.80	6.84e+41	6.23e+40	3.40e+42	2.39e+42
56126.80	6.51e+41	5.68e+40	3.31e+42	2.47e+42
56128.78	6.56e+41	5.67e+40	3.25e+42	2.29e+42
56130.75	6.98e+41	5.67e+40	3.54e+42	2.64e+42
56131.77	7.48e+41	6.08e+40	3.71e+42	2.64e+42
56132.77	6.63e+41	5.17e+40	3.35e+42	2.51e+42
56135.73	6.83e+41	5.00e+40	3.45e+42	2.62e+42
56177.68	5.47e+41	2.09e+40	2.51e+42	1.66e+42
56186.65	3.38e+41	1.32e+40	1.48e+42	1.12e+42
56187.68	3.33e+41	1.38e+40	1.47e+42	9.41e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_PTF12gcx_gri.txt and logL-bb_PTF12gcx_gri.txt for simple LC files
# Methodology:
# filters used:gri
# redshift used:0.045041
# extinction used:0.0452
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
