# ph	Lobs	err	L+BB	err	

59293.44	2.05e+42	4.47e+41	5.48e+42	1.71e+42
59293.45	2.05e+42	4.47e+41	5.48e+42	1.71e+42
59293.45	2.05e+42	4.47e+41	5.48e+42	1.71e+42
59294.14	2.06e+42	4.47e+41	5.50e+42	1.59e+42
59296.21	2.10e+42	4.55e+41	5.66e+42	1.51e+42
59296.50	2.11e+42	4.56e+41	5.70e+42	1.53e+42
59297.38	2.16e+42	4.63e+41	5.78e+42	1.54e+42
59297.40	2.16e+42	4.63e+41	5.78e+42	1.54e+42
59297.41	2.16e+42	4.63e+41	5.78e+42	1.54e+42
59297.42	2.16e+42	4.63e+41	5.78e+42	1.54e+42
59297.92	2.19e+42	4.65e+41	5.90e+42	1.67e+42
59301.24	2.40e+42	4.90e+41	6.70e+42	2.91e+42
59302.18	2.45e+42	4.99e+41	6.97e+42	3.22e+42
59302.61	2.46e+42	5.01e+41	6.98e+42	3.18e+42
59303.40	2.49e+42	5.07e+41	6.91e+42	2.96e+42
59303.40	2.49e+42	5.07e+41	6.91e+42	2.96e+42
59303.41	2.49e+42	5.07e+41	6.91e+42	2.96e+42
59303.42	2.49e+42	5.07e+41	6.91e+42	2.96e+42
59304.02	2.50e+42	5.12e+41	6.96e+42	3.05e+42
59305.51	2.53e+42	5.21e+41	6.99e+42	3.01e+42
59305.51	2.53e+42	5.21e+41	6.99e+42	3.01e+42
59305.52	2.53e+42	5.21e+41	6.99e+42	3.01e+42
59305.53	2.53e+42	5.23e+41	7.00e+42	3.00e+42
59306.44	2.54e+42	5.28e+41	7.12e+42	3.13e+42
59306.90	2.54e+42	5.30e+41	7.13e+42	3.12e+42
59307.44	2.55e+42	5.35e+41	7.00e+42	2.90e+42
59308.27	2.56e+42	5.39e+41	7.01e+42	2.89e+42
59309.26	2.57e+42	5.43e+41	7.02e+42	2.93e+42
59309.37	2.57e+42	5.43e+41	7.02e+42	2.93e+42
59309.38	2.57e+42	5.43e+41	7.02e+42	2.93e+42
59309.41	2.57e+42	5.43e+41	7.02e+42	2.93e+42
59309.44	2.57e+42	5.43e+41	7.02e+42	2.93e+42
59312.09	2.59e+42	5.55e+41	7.19e+42	3.16e+42
59312.52	2.60e+42	5.57e+41	7.20e+42	3.16e+42
59313.38	2.60e+42	5.60e+41	7.06e+42	3.01e+42
59313.39	2.60e+42	5.60e+41	7.06e+42	3.01e+42
59313.41	2.60e+42	5.60e+41	7.06e+42	3.01e+42
59313.41	2.60e+42	5.60e+41	7.06e+42	3.01e+42
59314.46	2.60e+42	5.62e+41	7.05e+42	2.89e+42
59315.86	2.59e+42	5.67e+41	7.04e+42	2.68e+42
59316.30	2.58e+42	5.67e+41	7.00e+42	2.57e+42
59316.82	2.58e+42	5.67e+41	7.00e+42	2.57e+42
59318.22	2.61e+42	5.70e+41	7.01e+42	2.60e+42
59319.35	2.63e+42	5.70e+41	7.14e+42	2.83e+42
59319.35	2.63e+42	5.70e+41	7.14e+42	2.83e+42
59319.36	2.63e+42	5.70e+41	7.14e+42	2.83e+42
59319.37	2.63e+42	5.70e+41	7.14e+42	2.83e+42
59320.59	2.67e+42	5.71e+41	7.44e+42	3.33e+42
59321.02	2.68e+42	5.71e+41	7.50e+42	3.43e+42
59321.08	2.69e+42	5.71e+41	7.54e+42	3.55e+42
59321.34	2.69e+42	5.71e+41	7.54e+42	3.49e+42
59321.35	2.69e+42	5.71e+41	7.54e+42	3.49e+42
59321.36	2.70e+42	5.71e+41	7.60e+42	3.60e+42
59321.37	2.70e+42	5.71e+41	7.60e+42	3.60e+42
59322.92	2.73e+42	5.67e+41	7.79e+42	3.95e+42
59322.95	2.73e+42	5.67e+41	7.79e+42	3.95e+42
59323.31	2.75e+42	5.70e+41	7.86e+42	4.06e+42
59323.31	2.75e+42	5.70e+41	7.86e+42	4.06e+42
59323.31	2.75e+42	5.70e+41	7.86e+42	4.06e+42
59323.32	2.75e+42	5.70e+41	7.86e+42	4.06e+42
59323.91	2.76e+42	5.71e+41	7.71e+42	3.83e+42
59326.02	2.79e+42	5.69e+41	7.82e+42	3.93e+42
59329.29	2.76e+42	5.71e+41	7.90e+42	4.05e+42
59329.37	2.76e+42	5.71e+41	7.90e+42	4.05e+42
59329.37	2.76e+42	5.71e+41	7.90e+42	4.05e+42
59329.38	2.76e+42	5.71e+41	7.90e+42	4.05e+42
59329.39	2.76e+42	5.71e+41	7.90e+42	4.05e+42
59329.58	2.76e+42	5.71e+41	7.88e+42	4.06e+42
59331.38	2.71e+42	5.69e+41	7.01e+42	2.55e+42
59331.39	2.71e+42	5.69e+41	7.01e+42	2.55e+42
59331.39	2.71e+42	5.69e+41	7.01e+42	2.55e+42
59331.40	2.71e+42	5.69e+41	7.01e+42	2.55e+42
59333.38	2.64e+42	5.61e+41	6.87e+42	2.58e+42
