# ph	Lobs	err	L+BB	err	

56347.56	3.40e+41	4.90e+40	6.65e+41	1.92e+41
56348.57	3.31e+41	4.70e+40	7.29e+41	3.60e+41
56349.57	3.20e+41	4.40e+40	7.31e+41	2.70e+41
56350.67	3.32e+41	4.82e+40	7.31e+41	2.79e+41
56354.66	3.04e+41	4.79e+40	7.07e+41	4.55e+41
56363.66	2.96e+41	5.14e+40	6.75e+41	3.91e+41
56367.65	2.78e+41	5.05e+40	5.36e+41	2.72e+41
56377.66	2.85e+41	5.86e+40	5.04e+41	1.87e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_PTF12kso_Bgriz.txt and logL-bb_PTF12kso_Bgriz.txt for simple LC files
# Methodology:
# filters used:Bgriz
# redshift used:0.03
# extinction used:0.0594
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
