# ph	Lobs	err	L+BB	err	

59521.58	2.61e+41	1.37e+41	8.79e+41	5.52e+41
59525.58	2.68e+41	1.50e+41	9.26e+41	5.95e+41
59527.58	2.73e+41	1.57e+41	9.41e+41	6.05e+41
59601.02	1.45e+41	1.92e+41	5.20e+41	3.91e+41
59622.04	1.06e+41	1.51e+41	3.79e+41	2.91e+41
59625.99	1.27e+41	1.81e+41	4.58e+41	3.52e+41
59631.04	1.42e+41	2.02e+41	5.10e+41	3.92e+41
59637.95	1.01e+41	1.44e+41	3.64e+41	2.80e+41
59640.02	8.02e+40	1.14e+41	2.88e+41	2.22e+41
59675.92	5.81e+40	8.28e+40	2.08e+41	1.60e+41
59679.88	7.73e+40	1.10e+41	2.77e+41	2.13e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2021skm_gcroi.txt and logL-bb_SN2021skm_gcroi.txt for simple LC files
# Methodology:
# filters used:gcroi
# redshift used:0.031461
# extinction used:0.0716
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
